nom,name,an2014,an2013,an2012,iso,capitale,latitude,longitude
Paraguay,Paraguay,105,91,80,PRY,Asuncion,25.10S,57.30W
Pays-Bas,Netherlands,2,2,3,NLD,Amsterdam,52.23N,04.54E
Pérou,Peru,104,105,115,PER,Lima,12.00S,77.00W
Philippines,Philippines,149,147,140,PHL,Manila,14.40N,121.03E
Pologne,Poland,19,22,24,POL,Warsaw,52.13N,21.00E
Portugal,Portugal,30,28,33,PRT,Lisbon,38.42N,09.10W
Qatar,Qatar,113,110,114,QAT,Doha,25.15N,51.35E
RD Congo,The Democratic Republic Of The Congo,151,142,145,COD,Kinshasa,4.24S,15.24E
République centrafricaine,Central African,109,65,62,CAF,Bangui,4.22N,18.35E
République dominicaine,Dominican Republic,68,80,95,DOM,Saint-Domingue,18.29N,69.55W
République du Gabon,Gabon,98,89,101,GAB,Libreville,00.25N,09.26E
République tchèque,Czech Republic,13,16,14,CZE,Prague,50.05N,14.22E
Roumanie,Romania,45,42,47,ROU,Bucuresti,44.27N,26.10E
Royaume-Uni,United Kingdom,33,29,28,GBR,London,51.36N,00.05W
Russie,Russian Federation,148,148,142,RUS,Moscou,55.45N,37.42E
Rwanda,Rwanda,162,161,156,RWA,Kigali,1.58S,30.7E
Samoa,Samoa,40,48,54,WSM,Apia,13.50S,171.50W
Sénégal,Senegal,62,59,75,SEN,Dakar,14.34N,17.29W
Serbie,Serbia,54,63,80,SRB,Belgrade,44.48N,20.23E
Seychelles,Seychelles,103,93,73,SYC,Victoria,4.37S,55.27E
Sierra Leone,Sierra Leone,72,61,63,SLE,Freetown,08.30N,13.17W
Singapour,Singapore,150,149,135,SGP,Singapour,1.17N,103.51E
Slovaquie,Slovakia,20,23,25,SVK,Bratislava,48.10N,17.07E
Slovénie,Slovenia,34,35,36,SVN,Ljubljana,46.04N,14.33E
Somalie,Somalia,176,175,164,SOM,Mogadishu,02.02N,45.25E
Soudan,Sudan,172,170,170,SDN,Khartoum,15.31N,32.35E
Soudan du Sud,South Sudan,119,124,111,SSD,Djouba,4.51N,31.36E
Sri Lanka,Sri Lanka,165,162,163,LKA,Sri Jayawardenapura,6.54N,79.54E
Suède,Sweden,10,10,12,SWE,Stockholm,59.20N,18.03E
Suisse,Switzerland,15,14,8,CHE,Bern,46.57N,07.28E
Surinam,Suriname,31,31,22,SUR,Paramaribo,05.50N,55.10W
Swaziland,Swaziland,156,155,144,SWZ,Mbabane,26.18S,31.06E
Syrie,Syrian Arab Republic,177,176,176,SYR,Damas,33.3132N,36.1852E
Tadjikistan,Tajikistan,115,123,122,TJK,Dushanbe,38.33N,68.48E
Taïwan,Taiwan,50,47,45,TWN,#N/A,23.28N,121E
Tanzanie,United Republic Of Tanzania,69,70,34,TZA,Dodoma,6.11N,35.445E
Tchad,Chad,139,121,103,TCD,N'Djamena,12.10N,14.59E
Thaïlande,Thailand,130,135,137,THA,Bangkok,13.45N,100.35E
Timor-Leste,Timor-Leste,77,90,86,TLS,Dili,8.33S,125.34E
Togo,Togo,76,83,79,TGO,Lome,06.09N,01.20E
Tonga,Tonga,63,66,63,TON,Nuku'alofa,21.10S,174.00W
Trinité-et-Tobago,Trinidad and Tobago,43,44,50,TTO,Port-d'Espagne,10.39N,30W
Tunisie,Tunisia,133,138,134,TUN,Tunis,36.50N,10.11E
Turkménistan,Turkmenistan,178,177,177,TKM,Ashgabat,38.00N,57.50E
Turquie,Turkey,154,154,148,TUR,Ankara,39.57N,32.54E
Ukraine,Ukraine,127,126,116,UKR,Kiev,50.30N,30.28E
Uruguay,Uruguay,26,27,32,URY,Montevideo,34.50S,56.11W
Venezuela,Venezuela,116,117,117,VEN,Caracas,10.30N,66.55W
Vietnam,Vietnam,174,172,172,VNM,Hanoï,21.2N,105.51E
Yémen,Yemen,167,169,171,YEM,Sanaa,15.2118N,44.1225E
Zambie,Zambia,93,72,86,ZMB,Lusaka,15.28S,28.16E
Zimbabwe,Zimbabwe,135,133,117,ZWE,Harare,17.43S,31.02E
